text,stress_level
I'm extremely pressured about my living situation. My anxiety is through the roof.,high
Taking time to listening to music has made me feel serene.,low
"Feeling a bit nervous about the news, but managing.",medium
The stress from my responsibilities is unbearable. I can't see an end to this.,high
The strain from health concerns is unbearable. I'm constantly on edge.,high
"Experiencing some overwhelm with my studies, but managing.",medium
My workday has been going wonderfully. Focusing on the positive.,low
"exams is causing some agitated feelings, but I'm coping.",medium
Life is good. I feel pleasant about everything.,low
The worry is overwhelming me. I feel like I'm losing control.,high
"Experiencing some distress with my boss, but managing.",medium
I can't handle the stress from my living situation anymore. I'm constantly on edge.,high
"Some frustrated situations at the party, but I'll get through it.",medium
